Id;bairro;nome_rua;segunda_manha;segunda_tarde;terca_manha;terca_tarde;quarta_manha;quarta_tarde;quinta_manha;quinta_tarde;sexta_manha;sexta_tarde;sabado_manha;sabado_tarde;tipo_coleta
1;Bairro São Miguel;Rua Albertina Gramkow;X;;;;;;;;;;;;SELETIVA
2;Bairro São Miguel;Rua Alberto Fuchs;X;;;;;;;;;;;;SELETIVA
3;Bairro São Miguel;Rua Azza;X;;;;;;;;;;;;SELETIVA
4;Bairro São Miguel;Rua André Lino;X;;;;;;;;;;;;SELETIVA
5;Bairro Areado;Rua Bahia;X;;;;;;;;;;;;SELETIVA
6;Bairro Areado;Rua Belém;X;;;;;;;;;;;;SELETIVA
7;Bairro Centro;Rua Belvedere;X;;;;;;;;;;;;SELETIVA
8;Bairro São Miguel;BR 470 (S. São Miguel e Saxônia);X;;;;;;;;;;;;SELETIVA
9;Bairro São Miguel;Rua Júlio Schneider;X;;;;;;;;;;;;SELETIVA
10;Bairro São Miguel;Rua Carl Bahr;X;;;;;;;;;;;;SELETIVA
11;Bairro São Miguel;Rua das Flores;X;;;;;;;;;;;;SELETIVA
12;Bairro São Miguel;Rua da Empresa (Aterro);X;;;;;;;;;;;;SELETIVA
13;Bairro Dalbérgia;Rua da Balsa;X;;;;;;;;;;;;SELETIVA
14;Bairro Centro;Rua Emilio Eberspacher;X;;;;;;;;;;;;SELETIVA
15;Bairro São Miguel;Rua Egídio Kunzer;X;;;;;;;;;;;;SELETIVA
16;Bairro Areado;Rua Germano Posanski;X;;;;;;;;;;;;SELETIVA
17;Bairro São Miguel;Rua Joaquim Gramkow;X;;;;;;;;;;;;SELETIVA
18;Bairro São Miguel;Rua José Manuel de Andrade;X;;;;;;;;;;;;SELETIVA
19;Bairro São Miguel;Rua Júlio Schneider;X;;;;;;;;;;;;SELETIVA
20;Bairro Areado;Rua Loteamento Luizinho;X;;;;;;;;;;;;SELETIVA
21;Bairro Areado;Rua Mato Grosso;X;;;;;;;;;;;;SELETIVA
22;Bairro São Miguel;Rua Moisés Amaral;X;;;;;;;;;;;;SELETIVA
23;Bairro São Miguel;Rua Osmar Gradowski;X;;;;;;;;;;;;SELETIVA
24;Bairro Areado;Rua Paraná;X;;;;;;;;;;;;SELETIVA
25;Bairro São Miguel;Rua Pedro Antonio;X;;;;;;;;;;;;SELETIVA
26;Bairro São Miguel;Rua Pedro Peron;X;;;;;;;;;;;;SELETIVA
27;Bairro São Miguel;Rua Pedro Silva;X;;;;;;;;;;;;SELETIVA
28;Bairro Areado;Rua Presidente Castelo Branco;X;;;;;;;;;;;;SELETIVA
29;Bairro Areado;Rua Rio de Janeiro;X;;;;;;;;;;;;SELETIVA
30;Bairro Areado;Rua Ribeirão Areado;X;;;;;;;;;;;;SELETIVA
31;Bairro Areado;Rua Ribeirão das Pedras;X;;;;;;;;;;;;SELETIVA
32;Bairro Areado;Rua Salvador;X;;;;;;;;;;;;SELETIVA
33;Bairro São Miguel;Rua Santa Catarina;X;;;;;;;;;;;;SELETIVA
34;Bairro São Miguel;Rua Salto Pilao;X;;;;;;;;;;;;SELETIVA
35;Bairro Areado;Rua Tocantins;X;;;;;;;;;;;;SELETIVA
36;Bairro São Miguel;Rua Valdomiro Vieira;X;;;;;;;;;;;;SELETIVA
37;Bairro São Miguel;Rua Vicente P. de Amaral;X;;;;;;;;;;;;SELETIVA
38;Bairro São Miguel;Travessa André Lino;X;;;;;;;;;;;;SELETIVA
39;Bairro Dalbérgia;Avenida Missler;;;;;;;;X;;;;;SELETIVA
40;Bairro Centro;Rua 3 de Maio;;;;;;;;X;;;;;SELETIVA
41;Bairro Centro;Rua 11 de Março;;;;;;;X;;;;;;SELETIVA
42;Bairro 25 de Julho;Rua 8 de Novembro;;;;;;;X;;;;;;SELETIVA
43;Bairro Centro;Rua 15 de Novembro ;;;;;;;;X;;;;;SELETIVA
44;Bairro Nova Stettin;Rua 17 de Março;;;;;;;;X;;;;;SELETIVA
45;Bairro 25 de Julho;Rua 25 de Julho;;;;;;;X;;;;;;SELETIVA
46;Bairro Operário;Rua Agrolândia;;;;;;;X;;;;;;SELETIVA
